Strain, Type, Content 
Mighty Glue, indica, THC 21% 
Chocolate Rain, sativa, THC 20% 
Mint Chocolate Chip, sativa, THC 23% 
Kaboom, sativa, THC 16% 
Richie Rich, indica, THC 22% 
Sour Jilly, sativa, THC 26% 
Sourlope, sativa, THC 22% 
SleeSkunk, sativa, THC 22% 
Thai Tanic, sativa, THC 15% 
Skunky Diesel, indica, THC 18% 
Skywalker Alien, indica, THC 28% 
Club 69, indica, THC 20% 
Chocolate Glue, indica, THC 29% 
Cherry Vanilla Cookies, hybrid, THC 25% 
Chocolate Drop, indica, THC 23% 
Purple Cheese, hybrid, THC 22% 
Golden Nugget, indica, THC 22% 
Elmer's Glue, indica, THC 24% 
Nirvana Special, sativa, THC 20% 
Purple Suicide, indica, THC 19% 
Lemon Jack, sativa, THC 18% 
Bakerstreet, indica, THC 28% 
Foul Mouth, indica, THC 23% 
Aspen OG, sativa, THC 20% 
Soul Shine, sativa, THC 22% 
Purple Lightning, indica, THC 15% 
Alpha Omega OG, sativa, THC 0% 
Game Changer, indica, THC 29% 
Hippie Crippler, hybrid, THC 27% 
Alpha Blue, sativa, THC 20% 
Cali Kush, indica, THC 15% 
Super Lemon OG, indica, THC 22% 
Jelly Roll, indica, THC 0% 
Lemon Bubble, sativa, THC 23% 
Lake of Fire, hybrid, THC 20% 
Alien Fire, indica, THC 18% 
God's Bubba, indica, THC 25% 
Blue Nina, hybrid, THC 20% 
Devil Fruit, indica, THC 30% / CBD 20% 
Monster Cookies, indica, THC 16% 
Goji OG, hybrid, THC 22% / CBD 1% 
Diablo OG, sativa, THC 20% 
Critical Jack, sativa, THC 20% 
Black Jack, indica, THC 25% 
Hash Plant, indica, THC 13% 
Crescendo, indica, THC 30% 
Lemon Thai, hybrid, THC 22% 
Shishkaberry, indica, THC 26% 
Platinum Bubba Kush, indica, THC 25% 
Cinex, sativa, THC 26% 
Cotton Candy Kush, indica, THC 20% 
Space Queen, sativa, THC 16% 
Cinderella 99, sativa, THC 22% 
Lucky Charms, hybrid, THC 22% 
Red Poison, hybrid, THC 21% 
Balmoral, hybrid, THC 21% 
Deadhead OG, sativa, THC 25% 
Vortex, sativa, THC 20% 
Pure OG, indica, THC 20% / CBD 2% 
Remedy, indica, THC 1% / CBD 16% 
Sundae Driver, hybrid, THC 16% 
Gorilla Glue #12, sativa, THC 30% 
Mars OG, indica, THC 20% 
Taiga, hybrid, THC 15% 
Venomberry, sativa, THC 16% 
King's Bread, sativa, THC 21% 
Death By Cake OG, hybrid,  
Rx, hybrid, THC 10% / CBD 12% 
Rubicon, hybrid, THC 9% / CBD 9% 
Pure Power, sativa, THC 26% 
Vaniluna, hybrid, THC 17% 
Liquid Butter, indica, THC 20% 
OG Purple Fire Thai, hybrid, THC 0% 
Hawaii 78, sativa, THC 12% 
Cookie Breath, hybrid, THC 31% 
Cowboy Kush, indica, THC 20% 
Purple Tears, hybrid, THC 16% 
Heaven Scent, hybrid, THC 22% 
Mob Boss, hybrid, THC 21% 
Cherry Cookies, hybrid, THC 26% 
Green Hornet, hybrid, THC 20% 
Krishna Kush, indica, THC 27% 
Afghan Haze, sativa, THC 21% 
Dark Shadow Haze, sativa, THC 22% 
Double Dutch, sativa, THC 18% 
Arabian Gold, hybrid, THC 22% 
Space Cream, indica, THC 24% 
Quasar, hybrid, THC 15% 
Stephen Hawking Kush, indica, THC 12% / CBD 14% 
Reggie, sativa, THC 20% 
King Kong, indica, THC 21% 
Lucy, hybrid, THC 20% / CBD 10% 
West Coast Diesel, sativa, THC 26% 
Gucci OG, hybrid, THC 30% 
Blue Goo, hybrid, THC 22% 
Charlie Sheen, sativa, THC 24% 
Dizzy OG, hybrid, THC 22% 
Blue Hawaiian, hybrid, THC 24% 
Emerald OG, indica, THC 22% 
Huckleberry, hybrid, THC 26% 
Grape God, indica, THC 25% 
Paris OG, indica, THC 28% 
Presidential OG, indica, THC 26% 
Fruit Punch, sativa, THC 25% 
Royal Kush, indica, THC 25% 
Blue Dot, sativa, THC 20% 
Sour Grape, hybrid, THC 24% 
Tesla Tower, sativa, THC 22% 
Night Train, hybrid, THC 23% 
Jedi Kush, indica, THC 30% 
Black Russian, indica, THC 26% 
Kali 47, sativa, THC 30% 
Lemon Daddy, sativa, THC 24% 
KC 33, indica, THC 22% 
Hobbit, hybrid, THC 15% 
J-27, sativa, THC 22% 
Blue Kiss, indica, THC 24% 
White Moonshine, indica, THC 19% 
Jazz, sativa, THC 25% 
King Cake, hybrid, THC 23% 
North American, indica, THC 19% 
Limon, sativa, THC 24% 
818 OG, indica, THC 20% 
Double D, sativa, THC 21% 
LA Sunshine, hybrid, THC 27% 
Jane Doe, hybrid, THC 24% 
Commerce City Kush, indica, THC 19% 
Herringbone, hybrid, THC 25% 
Boaty McBoatface, sativa, THC 8% / CBD 13% 
Magic Jordan, indica, THC 25% / CBD 6% 
Blue Zombie, indica, THC 21% 
GI001, sativa, THC 1% / CBD 24% 
Snow Ryder, indica, THC 23% 
Donna OG, hybrid, THC 18% 
Eastern European, hybrid, THC 0% 
BC Big Bud, sativa, THC 21% 
Purple Passion, indica, THC 18% 
Green Dragon, indica, THC 16% 
Super Blue Dream, hybrid, THC 21% 
Cherry AK-47, sativa, THC 21% / CBD 1% 
Dirty Girl, sativa, THC 28% 
Oregon Diesel, indica, THC 22% 
Watermelon, indica, THC 22% 
Purple Skunk, sativa, THC 20% 
Purple Princess, indica, THC 17% 
Master Skunk, hybrid, THC 19% 
Sour Joker, sativa, THC 23% 
Hogs Breath, indica, THC 13% 
Violet Delight, hybrid, THC 27% 
Frostbite, sativa, THC 21% 
Grape Skunk, indica, THC 24% / CBD 3% 
Kolossus, hybrid, THC 22% 
Alien Sour Apple, hybrid, THC 28% 
Zero Gravity, indica, THC 18% 
Fucking Incredible, indica, THC 18% 
Easy Bud, sativa, THC 17% 
Church OG, hybrid, THC 19% / CBD 1% 
American Dream, indica, THC 18% 
Dr. Feelgood, hybrid, THC 20% / CBD 10% 
Stinky Pete, hybrid, THC 23% 
Starman, indica, THC 20% 
Urkle Train Haze, indica, THC 23% 
Strawberry Snow Cone, sativa, THC 25% 
Supergirl, indica, THC 23% 
Thunderstruck, sativa, THC 2% / CBD 24% 
OG Sour Diesel, sativa, THC 22% 
Orange Kush Breath, sativa, THC 31% 
Sweet Baby Jane, indica, THC 20% 
Sweet Amnesia Haze, sativa, THC 22% 
Smooth Operator, indica, THC 25% 
Hawaiian Cookies, hybrid, THC 21% 
Best Friend OG, sativa, THC 20% 
Strawberry Frost, indica, THC 19% 
Orient Express, sativa, THC 16% 
Suicide Girl, indica, THC 27% 
Satori, sativa, THC 28% 
False Teeth, indica, THC 0% 
Dutch Queen, sativa, THC 18% 
Golden Soda, sativa, THC 15% 
Kill Bill, hybrid, THC 30% 
Polar Dog, indica, THC 21% 
Penelope, hybrid, THC 15% / CBD 13% 
Sunset, indica, THC 30% / CBD 1% 
Ash, indica, THC 20% 
Zen, hybrid, THC 11% / CBD 9% 
Bandana, sativa, THC 15% / CBD 4% 
Astroboy, sativa, THC 21% 
Ortega, indica, THC 17% 
Trash, indica, THC 19% 
The One, hybrid, THC 17% 
Alf, indica, THC 15% 
Tesla, sativa, THC 3% / CBD 18% 
Alien Inferno, indica, THC 20% 
Berry Noir, hybrid, THC 20% 
Batgirl, sativa, THC 24% 
Raindance, indica, THC 14% 
Zoom Pie, indica, THC 24% 
Nova, indica, THC 23% 
Amethyst, indica, THC 20% 
Sour Maui, sativa, THC 27% 
Berkley, sativa, THC 28% 
Skunk 47, indica, THC 27% 
Space Bomb, sativa, THC 17% 
White Haze, sativa, THC 19% 
Webster, sativa, THC 23% 
Sweet Dream, sativa, THC 23% 
Blueberry Haze, sativa, THC 23% 
Blackberry Dream, sativa, THC 28% 
Mad Dawg, sativa, THC 24% 
Golden State Banana, indica, THC 30% 
Chocolate Diesel, sativa, THC 18% 
Delahaze, sativa, THC 18% 
Old School OG, indica, THC 20% 
Powderhound, sativa, THC 20% 
Gas Mask, indica, THC 27% 
Cole Train, indica, THC 19% 
Electric Lemonade, sativa, THC 21% 
Cit·Rix, sativa, THC 23% 
Banana Cream OG, hybrid, THC 30% 
Rocket Fuel, indica, THC 29% 
Casper OG, indica, THC 18% / CBD 1% 
Himalayan Gold, indica, THC 25% / CBD 2% 
OG Poison, indica, THC 22% 
Doctor Jamaica, hybrid, THC 20% 
One To One, hybrid, THC 14% / CBD 14% 
First 48, sativa, THC 29% 
Romulan Haze, sativa, THC 20% 
Red Dwarf, indica, THC 15% 
Afwreck, sativa, THC 26% 
Scroopy Noopers, hybrid, THC 27% 
Double Mint, indica, THC 20% 
Grape Crush, indica, THC 19% 
Nepalese, sativa, THC 17% 
Purple Mr. Nice, hybrid, THC 26% 
White Diesel, indica, THC 22% 
Salmon River OG, indica, THC 24% 
Alien Abduction, indica, THC 29% / CBD 1% 
Super Bud, indica, THC 19% / CBD 1% 
Hemlock, hybrid, THC 22% 
Orange Turbo, sativa, THC 15% 
Super Sour Skunk, hybrid, THC 15% 
Ace of Spades, indica, THC 20% 
Santa Maria, sativa, THC 14% 
Orange Dream, hybrid, THC 18% 
Cambodian, sativa, THC 26% 
Don Carlos, indica, THC 28% 
Silver Pearl, sativa, THC 21% 
Honey Boo Boo, indica, THC 21% 
Lee Roy, indica, THC 24% 
Twisted Citrus, hybrid, THC 27% 
Lime Green Skunk, hybrid, THC 17% 
Master Bubba, hybrid, THC 8% / CBD 1% 
White Skunk, indica, THC 22% 
The Truth, sativa, THC 22% 
Papa's OG, indica, THC 25% 
Peaches and Cream, sativa, THC 21% 
Black Lime Special Reserve, indica, THC 19% 
Blue Moon Rocks, indica, THC 24% 
Skunkberry, hybrid, THC 40% 
OG Shark, hybrid, THC 25% 
Green Dream, hybrid, THC 24% 
Sweet Black Angel, indica, THC 18% 
Ghost Cookies, indica, THC 23% 
C3PO, indica, THC 1% / CBD 15% 
La Blanca, indica, THC 15% 
Dr. Bubbles, indica, THC 12% / CBD 5% 
Blue Zkittlez, indica, THC 20% 
Chocolate Fondue, sativa, THC 17% 
Sugar Cookie, hybrid, THC 25% 
Aurora Indica, indica, THC 20% 
OG 18, indica, THC 20% 
Tangerine Kush, indica, THC 20% 
Tyson, indica, THC 21% 
Pineapple Skunk, indica, THC 27% 
Royal Highness, sativa, THC 15% 
Outer Space, hybrid, THC 21% 
Crimea Blue, indica, THC 18% 
Blue Buddha, indica, THC 24% 
El Jefe, indica, THC 25% 
Qush, indica, THC 18% 
Elvis, sativa, THC 22% 
Locktite, indica, THC 23% 
Skunk #1, indica, THC 22% 
Larry Bird Kush, hybrid, THC 25% / CBD 1% 
Willie Nelson, sativa, THC 22% 
Katsu Bubba Kush, indica, THC 24% 
Quantum Kush, sativa, THC 30% 
Extreme OG, indica, THC 30% / CBD 1% 
Bay Dream, sativa, THC 26% 
Dark Side of the Moon, indica, THC 22% 
Power Plant, sativa, THC 20% 
Grape Kush, sativa, THC 30% 
Silver Haze, hybrid, THC 14% 
Martian Candy, indica, THC 21% 
Blue Sherbert, hybrid, THC 0% 
RockStar, hybrid, THC 17% 
Yeti OG, indica, THC 20% / CBD 3% 
Guava Gelato, hybrid, THC 0% 
Peanut Butter Breath, hybrid, THC 28% 
Gorilla Girl, sativa, THC 25% 
White Lightening, hybrid, THC 24% 
Berry Bomb, indica, THC 23% 
Incredible Bulk, indica, THC 24% 
Omega, hybrid, THC 26% 
Killer Queen, hybrid, THC 21% 
Strawberry Cheesecake, indica, THC 22% / CBD 2% 
Green Poison, indica, THC 20% 
Animal Mint, hybrid, THC 32% 
Dreamcatcher, indica, THC 26% 
Green Ribbon, hybrid, THC 28% 
Cadillac Purple, hybrid, THC 27% 
Goo, indica, THC 24% 
Ringo's Gift, hybrid, THC 1% / CBD 20% 
Melon Gum, indica, THC 23% 
Head Cheese, hybrid, THC 30% 
Bonkers, hybrid, THC 18% 
Purple Candy, hybrid, THC 19% 
U.K. Cheese, hybrid, THC 18% 
Ms Universe, hybrid, THC 24% 
RudeBoi OG, indica, THC 23% 
Trix, sativa, THC 20% 
Billy Kimber OG, indica, THC 30% 
London Pound Cake, indica, THC 29% 
Lava Cake, indica, THC 18% 
Zookies, hybrid, THC 25% 
Cherry Limeade, hybrid, THC 26% 
Armageddon, sativa, THC 20% 
Agent Orange, sativa, THC 15% 
Laughing Buddha, sativa, THC 20% 
King Louis XIII, indica, THC 28% 
Grapefruit, sativa, THC 20% 
Alien Dawg, indica, THC 20% 
Alaskan Ice, sativa, THC 22% 
Kandy Kush, indica, THC 20% 
White Gold, indica, THC 25% 
MK Ultra, indica, THC 22% / CBD 0% 
Harlequin, sativa, THC 10% / CBD 15% 
Flo, sativa, THC 14% / CBD 0% 
Hawaiian Snow, sativa, THC 24% 
Lemon Diesel, indica, THC 18% 
Orange Kush, hybrid, THC 24% 
Tangie, sativa, THC 22% / CBD 0% 
Lavender Haze, indica, THC 20% 
Lemon Cake, sativa, THC 25% 
The White, indica, THC 30% 
Blueberry Headband, hybrid, THC 18% 
Vanilla Kush, indica, THC 22% 
Super Sour Diesel, sativa, THC 26% 
Dutch Treat, indica, THC 30% / CBD 1% 
Rosetta Stone, hybrid, THC 20% 
Blue Diesel, indica, THC 23% 
Chemmy Jones, sativa, THC 20% / CBD 1% 
Boss OG, hybrid, THC 26% / CBD 1% 
Cannadential, hybrid, THC 22% / CBD 2% 
Caramel Candy Kush, indica, THC 20% / CBD 1% 
CBD Critical Cure, indica, THC 12% / CBD 7% 
The White Angel, hybrid, THC 30% 
Cheeseburger, indica, THC 20% 
Woody Kush, indica, THC 23% 
Sour Cookies, sativa, THC 28% 
Chem Scout, indica, THC 26% / CBD 1% 
Rolls Choice, sativa, THC 24% 
Rocky Dennis, hybrid, THC 0% 
Banana Bread, hybrid, THC 0% 
Early Skunk, indica, THC 22% 
Rose Bud, indica, THC 14% 
Purple Berry, indica, THC 22% 
WSU, indica, THC 24% 
Chemwreck, sativa, THC 23% / CBD 1% 
Chupacabra, hybrid, THC 26% / CBD 1% 
Russian Doll, sativa, THC 25% 
Rozé, hybrid, THC 0% 
Darth Vader OG, indica, THC 25% 
Cinderella's Dream, sativa, THC 23% / CBD 1% 
A-Train, hybrid, THC 20% 
Green Crack, sativa, THC 24% 
Hindu Kush, indica, THC 20% 
Blue Dream, hybrid, THC 27% / CBD 2% 
Sour Diesel, sativa, THC 25% 
Gorilla Glue #4, sativa, THC 32% 
Girl Scout Cookies, indica, THC 28% / CBD 1% 
Gorilla Glue, hybrid, THC 28% 
Skywalker OG, indica, THC 26% 
Northern Lights, indica, THC 33% 
NYC Diesel, sativa, THC 22% 
Durban Poison, sativa, THC 26% 
Gelato, hybrid, THC 25% 
OG Kush, sativa, THC 27% 
Pineapple Express, sativa, THC 27% 
Jack Herer, sativa, THC 24% 
Granddaddy Purple, indica, THC 23% 
Wedding Cake, indica, THC 25% 
Forbidden Fruit, indica, THC 26% 
Cherry Pie, indica, THC 26% 
Stardawg, sativa, THC 22% 
Fruity Pebbles, indica, THC 23% 
Trainwreck, sativa, THC 18% 
Chemdawg, hybrid, THC 22% 
White Widow, sativa, THC 20% 
Rob Ford Kush, indica, THC 15% 
Mt Hood Magic, indica, THC 19% 
Rocky Mountain Blueberry, indica, THC 18% 
Ogre Berry, indica, THC 28% 
Magnum PI, sativa, THC 12% 
Hawaiian Diesel, sativa, THC 22% 
Matanuska Thunder Fuck, hybrid, THC 21% 
OG LA Affie, indica, THC 22% 
Monkey Thunder, sativa, THC 24% 
Critical Kali Mist, sativa, THC 22% 
Rocklock, indica, THC 16% 
Fruit Spirit, sativa, THC 20% 
Monkey Bread #1, indica, THC 32% 
Moon Cookies, indica, THC 29% 
Marionberry Kush, indica, THC 23% 
Maui Mango Diesel, sativa, THC 20% 
MediHaze, sativa, THC 4% / CBD 9% 
Misty Kush, hybrid, THC 20% 
Nebula II CBD, sativa, THC 7% / CBD 8% 
Orange Wreck, sativa, THC 23% 
Central American, sativa, THC 23% 
Green Crack Extreme, sativa, THC 24% 
Go Time, sativa, THC 32% 
Strawberry Dream, hybrid, THC 21% 
Godzilla, indica, THC 18% 
Blue Frost, indica, THC 22% 
Earth OG, indica, THC 22% 
Euforia, sativa, THC 23% 
Mountain Girl, hybrid, THC 20% 
Dairy Queen, hybrid, THC 28% 
UW, indica, THC 20% 
Bubbleberry, sativa, THC 21% 
Silver Surfer, hybrid, THC 26% 
Sunshine, sativa, THC 27% 
Killing Fields, sativa, THC 22% 
Transformer, hybrid, THC 22% 
Green Lantern, sativa, THC 28% 
Blueberry Blast, indica, THC 28% 
Pitbull, indica, THC 21% 
Cherries Jubilee, indica, THC 22% 
Grape Royale, indica, THC 28% 
Harambe's Ghost, hybrid, THC 30% 
Blurple, hybrid, THC 19% 
Ice Queen, sativa, THC 23% 
Presidential Kush, indica, THC 30% 
Sour Moonrocks, sativa, THC 59% 
Lost Coast OG, indica, THC 15% 
Purple Jems, hybrid, THC 19% / CBD 1% 
Super Sour Widow, hybrid, THC 18% / CBD 11% 
Thai Girl, sativa, THC 25% 
Strawberry Mango Haze, sativa, THC 23% 
Blue Boy, sativa, THC 27% 
Elderberry, indica, THC 20% 
Khufu, indica, THC 27% 
Tree of Life, sativa, THC 22% 
Valentine X, hybrid, THC 1% / CBD 25% 
Cracker Jack, hybrid, THC 20% 
Stella Blue, sativa, THC 18% 
The Ox, indica, THC 20% / CBD 12% 
Aloha Berry, indica, THC 28% 
Sweet Deep Grapefruit, indica, THC 19% 
White Empress, indica, THC 25% 
White Sangria, indica, THC 20% 
White Fire Alien OG, indica, THC 26% 
Irish Kush, indica, THC 22% 
California Grapefruit, indica, THC 15% 
Omega Dawg, hybrid, THC 25% 
Capers, indica, THC 19% 
Raspberry Cookies, indica, THC 26% / CBD 0% 
Secret Recipe, sativa, THC 25% 
Stevie Wonder, sativa, THC 24% 
C3, indica, THC 23% 
Slice of Heaven, hybrid, THC 0% 
999, hybrid, THC 0% 
Sidetracked, sativa, THC 32% 
Super Chronic, indica, THC 19% / CBD 5% 
Concord Cream, indica, THC 0% 
Comfortably Dumb, indica, THC 0% 
Cherry Moon Pie, indica,  
Chocolate Cheesecake, hybrid,  
Snow Goddess, hybrid, THC 23% 
Mandala #1, hybrid, THC 21% 
Cherry Wine, hybrid, THC 1% / CBD 25% 
Cookies and Cream Cheese, indica,  
Cookies Haze, sativa, THC 25% 
Lennon, sativa, THC 21% 
Silver Calyx, hybrid, THC 0% 
Cougar Milk, indica, THC 26% 
Red Diesel, hybrid, THC 22% 
Pine Cone, sativa, THC 18% 
Fast Eddy, sativa, THC 10% / CBD 15% 
Mystery Jazz, hybrid, THC 0% 
Popcorn Kush, indica, THC 17% 
Raskal OG, sativa, THC 19% / CBD 1% 
Wonka's Bubblicious, sativa, THC 22% 
Bear Dance, sativa, THC 33% 
Pineapple Purps, sativa, THC 17% / CBD 1% 
Montana Silvertip, sativa, THC 26% 
White Ryder, indica, THC 24% 
Godberry, indica, THC 21% 
Guava Chem, indica, THC 22% 
Guava Kush, sativa, THC 21% / CBD 1% 
Hempstar, sativa, THC 25% 
Jah Kush, sativa,  
Madman OG, hybrid, THC 24% 
Nuken, indica, THC 25% 
Pine Tar Kush, indica, THC 22% 
Orange Hill Special, hybrid, THC 21% 
Opal OG Kush, indica, THC 26% 
Pineapple Upside Down Cake, indica, THC 25% 
Purple Cheddar, indica, THC 17% 
Purple Chemdawg, indica, THC 21% 
Purple Jack, hybrid, THC 10% 
Purple Tangie, sativa, THC 22% 
Red Congolese, sativa, THC 21% 
Redwood Kush, indica, THC 26% / CBD 1% 
Romulan Grapefruit, indica, THC 18% / CBD 1% 
Shiva Skunk, indica, THC 20% / CBD 1% 
Sour Urkle, indica, THC 19% / CBD 1% 
VCDC, indica, THC 1% / CBD 18% 
Platinum Sour Diesel, sativa, THC 25% 
Punxsy Punch, indica,  
SFV Dog, hybrid, THC 28% 
Orange Haze, sativa, THC 20% 
Mag Landrace, indica, THC 27% / CBD 1% 
Queen Mother Goji, indica, THC 30% 
Saturn OG, hybrid, THC 26% 
Legend of Nigeria, sativa, THC 24% 
Dutch Hawaiian, sativa, THC 28% 
Jamaican Pearl, sativa, THC 22% 
Moose And Lobsta, sativa, THC 15% 
Cookie Puss, hybrid, THC 24% 
Swiss Tsunami, sativa, THC 1% / CBD 17% 
Banana Diesel, indica, THC 23% / CBD 1% 
Crunch Berry Kush, indica, THC 19% 
Fruity Chronic Juice, indica, THC 20% / CBD 8% 
Pineapple Fields, sativa, THC 0% 
Cream caramel, indica, THC 24% 
Critical Bilbo, indica, THC 21% 
Santa Sativa, sativa, THC 21% 
Cuvee, indica, THC 20% 
Dank Schrader, indica, THC 27% 
Dawg's Waltz, indica, THC 19% 
Erez, indica, THC 24% 
Flaming Cookies, indica, THC 25% 
Frosted Freak, hybrid, THC 21% 
Juliet, sativa, THC 20% 
Funfetti, indica, THC 27% 
Funky Monkey, indica, THC 12% 
Goldberry, indica, THC 19% 
Grape Inferno, indica, THC 23% 
Grape OX, indica, THC 24% 
Grape Valley Kush, indica, THC 26% 
Hawaiian Fire, hybrid, THC 25% 
Hawaiian Purple Kush, indica, THC 23% 
Haze Wreck, sativa, THC 24% 
Heisenberg Kush, sativa, THC 23% 
Purple Raine, hybrid, THC 19% 
Purple Dream, hybrid, THC 15% 
Hell Raiser OG, indica, THC 20% 
Lavender Jones, sativa, THC 20% / CBD 1% 
